Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
18,"Hilton, T.Y.",IND,WR,135.6,24.9,72.8,1174.4,4.6,1.7,0.4,0.,1.3,0.4,0.8,11.9,3.6,0.8,0.3,0.,0.,6.,2.3,0.,25.3,146.6
19,"Crabtree, Michael",OAK,WR,162.9,40.8,88.8,995.1,7.5,2.7,0.9,2.4,1.4,0.,0.,12.,2.,0.7,0.2,0.,0.,0.,0.,0.,38.4,145.2
20,"Tate, Golden",DET,WR,143.6,22.,91.,1034.2,6.1,4.,0.,1.,0.2,0.,0.9,11.8,2.1,0.7,0.3,16.7,0.,18.3,0.,0.,12.,141.5
21,"Jeffery, Alshon",PHI,WR,146.,17.6,81.3,1157.8,4.1,2.,1.2,0.,0.,0.9,0.,13.2,2.3,0.8,0.3,4.6,0.,0.,35.2,0.,15.,141.1
22,"Hill, Tyreek",KCC,WR,108.,16.,71.6,765.2,5.4,0.6,1.4,0.7,2.7,0.,0.,3.6,1.5,0.5,0.2,183.5,1.9,442.3,310.6,1.3,15.6,136.3
23,"Decker, Eric",TEN,WR,100.,16.1,56.2,900.,8.,4.1,1.4,0.9,1.5,0.,0.,7.1,1.8,0.6,0.2,5.,0.,0.,2.9,1.5,15.,135.8
24,"Landry, Jarvis",MIA,WR,136.7,21.9,91.4,1037.4,3.6,1.3,0.9,0.,0.,0.4,1.1,11.3,2.5,0.7,0.3,42.7,0.4,201.8,124.9,1.1,24.1,131.5
25,"Britt, Kenny",CLE,WR,134.3,16.2,72.8,993.2,5.1,3.1,1.6,0.,0.3,0.,0.,12.,2.,0.7,0.2,6.3,0.3,0.,0.,0.5,12.4,131.3
26,"Bryant, Martavis",PIT,WR,119.1,33.2,66.,843.5,6.2,0.8,3.,0.2,1.6,0.,0.7,9.4,1.7,0.6,0.2,43.2,0.7,18.6,8.4,0.7,30.8,128.4
27,"Cobb, Randall",GBP,WR,109.,22.6,70.3,829.,6.4,3.6,1.,0.7,0.6,0.6,0.,10.1,1.7,0.6,0.2,39.3,0.5,30.5,16.7,0.2,16.1,127.8
28,"Fitzgerald, Larry",ARZ,WR,153.8,30.7,103.1,1013.9,4.8,3.2,0.6,1.,0.,0.,0.,11.8,2.,0.7,0.3,2.5,0.,0.,0.,1.4,29.5,127.7
29,"Maclin, Jeremy",BAL,WR,112.4,14.6,68.5,914.6,5.6,0.8,2.9,0.,0.7,0.,1.2,10.7,1.8,0.6,0.2,2.6,0.,0.,0.,0.,9.6,127.
30,"Sanders, Emmanuel",DEN,WR,131.2,21.7,70.8,1012.,4.2,2.,0.1,0.,0.7,0.4,1.,11.7,2.,0.7,0.3,9.,0.,22.6,5.5,0.4,18.,126.6
31,"Garcon, Pierre",SFO,WR,120.4,13.8,77.4,973.9,4.9,1.3,1.9,0.9,0.4,0.,0.3,11.9,1.9,0.6,0.2,0.,0.,37.8,15.4,0.4,13.5,125.8
32,"Davis, Corey",TEN,WR,100.,10.,58.,800.,7.8,4.,2.,0.1,1.7,0.,0.,4.,1.5,0.5,0.1,-0.6,0.,10.2,25.5,0.7,12.,125.
33,"Hogan, Chris",NEP,WR,90.,17.3,54.4,949.4,5.1,0.2,1.6,0.,1.4,0.,1.9,9.9,1.9,0.6,0.2,11.,0.,9.6,42.4,0.8,17.8,125.
34,"White, Kevin",CHI,WR,120.,22.,72.,950.,4.6,1.2,1.2,0.8,1.,0.,0.4,10.,1.6,0.6,0.2,12.,0.,19.5,4.4,0.4,28.5,123.
35,"Anderson, Robby",NYJ,WR,106.1,12.2,57.,866.2,5.6,1.1,0.7,1.2,0.2,2.2,0.2,10.6,1.7,0.6,0.2,25.,0.,0.,0.,0.,12.7,122.5
36,"Jackson, DeSean",TBB,WR,114.2,12.8,62.2,978.,3.8,0.4,2.2,0.,0.,0.5,0.7,11.9,2.,0.7,0.2,6.,0.,25.1,4.7,0.,10.2,122.4
