Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
142,"Callaway, Antonio",CLE,@HOU,WR,1.5,0.1,0.4,4.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.8,3.9,0.,0.,0.3
143,"Davis, Trevor",GBP,ARZ,WR,0.5,0.1,0.3,2.4,0.,0.,0.,0.,0.,0.,0.,0.6,0.,3.9,8.3,0.,0.,0.3
144,"Golden, Brittan",ARZ,@GBP,WR,0.5,0.,0.3,4.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.7,13.7,0.1,0.,0.3
145,"Chark, D.J.",JAC,IND,WR,1.2,0.3,0.4,3.3,0.,0.,0.,0.,0.,0.,0.,0.1,0.,8.5,1.1,0.,0.1,0.3
146,"Coutee, Keke",HOU,CLE,WR,0.8,0.,0.2,2.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,4.7,0.,0.,0.3
147,"McEvoy, Tanner",MIA,BUF,WR,0.5,0.1,0.2,2.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3
148,"Wright, James",IND,@JAC,WR,0.4,0.,0.3,2.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3
149,"Thomas, Mike",LAR,@DET,WR,0.8,0.1,0.4,4.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,5.1,19.,0.1,0.1,0.3
150,"Harris, Maurice",WAS,@PHI,WR,0.4,0.,0.2,1.8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,3.8,0.,0.1,0.2
151,"Hansen, Chad",NEP,MIN,WR,0.5,0.1,0.3,2.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2
152,"Harris, Dwayne",OAK,KCC,WR,0.8,0.1,0.3,3.3,0.,0.,0.,0.,0.,0.,0.,0.1,0.,1.6,8.1,0.1,0.1,0.2
153,"Darboh, Amara",NEP,MIN,WR,0.5,0.1,0.2,2.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,0.,0.,0.,0.2
154,"Clay, Kaelin",NYG,CHI,WR,0.7,0.,0.2,2.3,0.,0.,0.,0.,0.,0.,0.,0.6,0.,8.7,5.,0.1,0.,0.2
155,"Johnson, Marcus",IND,@JAC,WR,0.6,0.,0.3,2.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.2,1.9,0.,0.,0.1
156,"Mickens, Jaydon",JAC,IND,WR,0.2,0.1,0.1,1.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,14.3,1.6,0.,0.,0.1
157,"Bolden, Victor",SFO,@SEA,WR,0.7,0.2,0.2,1.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.5,22.5,0.,0.1,0.1
158,"Sherfield, Trent",ARZ,@GBP,WR,0.9,0.1,0.1,1.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,2.9,2.4,0.,0.,0.1
