"Rank","Player","Team","Opp","Position","Tack","Asst","Scks","PassDef","Int","FumFrc","Fum","DefTD","Pts"
58,"Dareus, Marcell","JAC","@ATL","DL",2.2,0.5,0.2,0.1,0.,0.,0.,0.,3.
59,"Reader, D.J.","HOU","@TBB","DL",1.9,0.9,0.2,0.,0.,0.,0.,0.,2.9
60,"Orchard, Nate","MIA","CIN","DL",1.6,0.9,0.3,0.1,0.,0.1,0.1,0.,2.9
61,"Armstead, Arik","SFO","LAR","DL",2.1,0.8,0.2,0.,0.,0.,0.,0.,2.9
62,"Short, Kawann","CAR","@IND","DL",1.6,1.,0.3,0.1,0.,0.1,0.,0.,2.9
63,"Hughes, Jerry","BUF","@NEP","DL",1.6,0.7,0.4,0.1,0.,0.2,0.,0.,2.9
64,"Williams, Quinnen","NYJ","PIT","DL",1.8,1.,0.2,0.1,0.,0.,0.,0.,2.8
65,"Hargrave, Javon","PIT","@NYJ","DL",1.7,1.,0.2,0.1,0.,0.,0.,0.,2.8
66,"Gotsis, Adam","DEN","DET","DL",1.6,0.8,0.2,0.3,0.,0.1,0.1,0.,2.8
67,"Cox, Fletcher","PHI","DAL","DL",1.5,0.6,0.4,0.,0.,0.1,0.1,0.,2.8
68,"Addison, Mario","CAR","@IND","DL",1.2,0.9,0.5,0.,0.,0.1,0.,0.,2.8
69,"Atkins, Geno","CIN","@MIA","DL",1.4,0.9,0.4,0.,0.,0.,0.,0.,2.8
70,"Nichols, Bilal","CHI","KCC","DL",1.5,0.8,0.3,0.1,0.,0.1,0.1,0.,2.7
71,"Beasley, Vic","ATL","JAC","DL",1.4,0.5,0.4,0.2,0.,0.,0.,0.,2.7
72,"Richardson, Sheldon","CLE","BAL","DL",1.7,1.4,0.1,0.,0.,0.1,0.,0.,2.7
73,"Ansah, Ezekiel","SEA","ARZ","DL",1.5,0.4,0.5,0.,0.,0.,0.,0.,2.7
74,"Godchaux, Davon","MIA","CIN","DL",2.,1.,0.1,0.,0.,0.,0.,0.,2.6
75,"Blair, Ronald","SFO","LAR","DL",1.5,0.7,0.4,0.1,0.,0.,0.,0.,2.6
76,"Nassib, Carl","TBB","HOU","DL",1.6,0.6,0.3,0.1,0.,0.1,0.,0.,2.6
77,"Billings, Andrew","CIN","@MIA","DL",1.9,0.8,0.1,0.1,0.,0.,0.,0.,2.6
78,"Crawford, Tyrone","DAL","@PHI","DL",1.,1.2,0.4,0.1,0.,0.1,0.,0.,2.6
79,"Wolfe, Derek","DEN","DET","DL",1.7,0.9,0.1,0.2,0.,0.,0.,0.,2.6
80,"Tomlinson, Dalvin","NYG","@WAS","DL",1.7,1.6,0.,0.,0.,0.,0.,0.,2.5
81,"Rankins, Sheldon","NOS","@TEN","DL",1.4,0.8,0.3,0.1,0.,0.,0.,0.,2.5
82,"Williams, Xavier","KCC","@CHI","DL",1.5,1.6,0.1,0.,0.,0.,0.,0.,2.5
83,"Bosa, Nick","SFO","LAR","DL",1.8,0.5,0.1,0.1,0.,0.,0.,0.,2.4
84,"Davenport, Marcus","NOS","@TEN","DL",1.3,0.6,0.3,0.1,0.,0.1,0.,0.,2.4
85,"Hand, Da'Shawn","DET","@DEN","DL",1.7,0.7,0.2,0.,0.,0.1,0.,0.,2.4
86,"Smart, Tanzel","LAR","@SFO","DL",1.5,0.8,0.2,0.1,0.,0.1,0.,0.,2.4
87,"Anderson, Henry","NYJ","PIT","DL",1.4,0.8,0.2,0.2,0.,0.,0.,0.,2.4
88,"Goldman, Eddie","CHI","KCC","DL",1.6,0.9,0.2,0.,0.,0.,0.,0.,2.4
89,"Crawford, Jack","ATL","JAC","DL",1.2,0.9,0.3,0.1,0.1,0.1,0.,0.,2.4
90,"Irvin, Bruce","CAR","@IND","DL",1.2,0.6,0.4,0.,0.,0.1,0.,0.,2.4
91,"Guy, Lawrence","NEP","BUF","DL",1.3,1.8,0.1,0.,0.,0.1,0.,0.,2.4
92,"Vea, Vita","TBB","HOU","DL",1.5,0.7,0.2,0.,0.,0.,0.,0.,2.3
93,"Thomas, Solomon","SFO","LAR","DL",2.,0.4,0.1,0.,0.,0.,0.,0.,2.3
94,"Robinson, A'Shawn","DET","@DEN","DL",1.7,1.,0.,0.,0.,0.,0.,0.,2.3
95,"Blackson, Angelo","HOU","@TBB","DL",1.6,0.5,0.1,0.2,0.,0.,0.,0.,2.3
96,"Harris, Shelby","DEN","DET","DL",1.5,0.7,0.1,0.1,0.,0.,0.,0.,2.3
97,"Williams, Brandon","BAL","@CLE","DL",1.6,0.9,0.1,0.1,0.,0.,0.,0.,2.3
98,"Okafor, Alex","KCC","@CHI","DL",1.5,0.9,0.1,0.,0.,0.,0.,0.,2.3
99,"Bailey, Allen","ATL","JAC","DL",1.4,0.8,0.2,0.,0.,0.1,0.1,0.,2.3
